"Business Objects for: "	Credit Facility
"UML Type"	"Business Object"	"Supertype"	"Attribute"	"Description"	"Data Type"
Class	CreditFacilityArrangement	" "	" "	"An arrangement defined to fulfill the credit facility agreement"	" "
Class	CreditFacilityArrangement	ServiceArrangement	" "	"An arrangement into which is promised to deliver a specific service.. . Comment: Most service arrangements are instantiations of Product Services"	" "
Class	CreditFacility	" "	" "	"A credit facility is a type of loan made in a business or corporate finance context. It allows the borrowing business to take out money over an extended period of time rather than reapplying for a loan each time it needs money. In effect, a credit facility lets a company take out an umbrella loan for generating capital over an extended period of time.. https://www.investopedia.com/terms/c/creditfacility.asp"	" "
Attribute	CreditFacility	" "	CreditFacilityType	"Types of credit facilities include revolving loan facilities, retail credit facilities (like credit cards), committed facilities, letters of credit, and most retail credit accounts."	String
Attribute	CreditFacility	" "	CreditFacilityNumber	"The associated credit facility account number in any suitable format"	String
Attribute	CreditFacility	" "	CreditFacilityAmount	"The amount of the credit facility"	String
Attribute	CreditFacility	" "	CreditFacilityRateType	"The rate type to be applied to the credit facility"	String
Attribute	CreditFacility	" "	CreditFacilityDataTime	"Key dates for the credit facility like Origination Date, Maturity Date and etc. "	String
Class	Agreement	" "	" "	"A formal or informal common understanding between two or more (legal competent) parties concerning one or more subject matters expressed in a set of arrangements, terms and conditions. (adapted from Legal System and FIBO) "	" "
Attribute	Agreement	" "	AgreementSignedDate	"Date on which the agreement was signed by all parties. (ISO20022)"	Date
Attribute	Agreement	" "	AgreementType	"Specifies the category of agreement. Agreement type is very often referred to product. But, the term product does not cover all kinds of agreements. An Agreement can be subtyped from the perspective of various aspects of interest. One can classify the agreement from the perspective of format type (e.g., verbal agreement, written agreement). Other one can classify agreement based on duration like short-term agreement or long-term agreement."	AgreementTypeValues
Attribute	Agreement	" "	AgreementValidityPeriod	"Period during which the agreement is valid. "	DateTimePeriod
Attribute	Agreement	" "	AgreementVersion	""	String
Attribute	Agreement	" "	AgreementStatus	"LifecycleStatus of agreement (e.g., potential, offered, confirmed, completed, signed, terminated) "	AgreementStatusValues
Attribute	Agreement	" "	AgreementSubjectMatter	""	String
Attribute	Agreement	" "	AgreementIdentification	"The identifier of agreement like Agreement Number, Contract Number, Contract Registration Number, etc. "	String
Attribute	Agreement	" "	AgreementDate	"A characteristic of agreement which refers to 1) LifecycleDate of agreement (e.g., SignedDate, TerminatedDate, FulfilledDate) OR 2) ArrangedDate of agreement (e.g., StartingDate, EndingDate, ValidityPeriod, EffectiveDate)."	DateTime
Class	Arrangement	" "	" "	"An agreed commitment to perform actions that meet obligations under an agreement"	" "
Attribute	Arrangement	" "	ActionType	""	ActionTypeValues
Attribute	Arrangement	" "	ArrangementStartDate	""	DateTime
Attribute	Arrangement	" "	ArrangementEndDate	""	DateTime
Attribute	Arrangement	" "	ArrangementStatus	"A status which refers to the LifecycleStatus of arrangement (e.g., requested, proposed, offered, accepted, cancelled, terminated, fulfilled, etc.);"	ArrangementStatusValues
Class	ServiceArrangement	" "	" "	"An arrangement into which is promised to deliver a specific service.. . Comment: Most service arrangements are instantiations of Product Services"	" "
Class	ServiceArrangement	Arrangement	" "	"An agreed commitment to perform actions that meet obligations under an agreement"	" "
Class	FeeArrangement	" "	" "	"An arrangement which specifies to charge fees when banking transactions did take place, accompanied by the modalities to calculate and charge the fees and the related terms and conditions. "	" "
Attribute	FeeArrangement	" "	FeeType	"A classification of fee according to the type of service. . Type of service for which a charge is asked or paid. (ISO20022)"	FeeType
Attribute	FeeArrangement	" "	FeeAmount	"Base amount that would be applied when the service is requested. . . "	Amount
Attribute	FeeArrangement	" "	FeeRate	"Rate used to calculate the amount of the adjustment, allowance, charge or fee. (ISO20022)"	Rate
Attribute	FeeArrangement	" "	FeeEffectivePeriod	"Period during which the fee is applicable. (ISO20022)"	DateTimePeriod
Attribute	FeeArrangement	" "	FeeDueDate	"Date on which the fee needs to be paid.. - It is not nessessary a date and could be  expressed as a calander or formula or events that would be fulfiled. "	DateTime
Attribute	FeeArrangement	" "	FeePlan	"An arranged FeeRatePlan. "	FeePlan
Class	FeeArrangement	TermDepositAccountArrangement	" "	""	" "
Class	FeeArrangement	LoanArrangement	" "	"An arrangement defining the applicable features for a loan account agreement. . "	" "
Class	FeeArrangement	Arrangement	" "	"An agreed commitment to perform actions that meet obligations under an agreement"	" "
