"Service Domain specification for Card Terminal Administration"
"Business Area"	Channels
"Business Domain"	Channel Specific
"Service Domain"	Card Terminal Administration
"Role Definition"	"This service domain is responsible for the allocation of the Point of Sale Terminal of Authorization Link interface to the Merchant, configuring and activating the device or interface, and managing its ongoing status, including replacement of faulty devices or interfaces. The Acquiring Bank configures the terminal or the interface to meet the specific requirements of the Merchant depending on the merchant type, risk and other terms and conditions."
"Example of use"	"A Merchant is assigned one or more devices or interfaces for processing Card Charge authorization and submission when an Acquiring Bank sets up a new Merchant Account. (Note this can involve a Point of Sale Terminal or an Authorization Link interface to the merchant's own cash register system)."
"Executive Summary"	"This service domain administers the POS Network including the inventory, terminal characteristics, deployment and status of the POS devices."
"Key Features"	"POS inventory administration. Merchant POS/Interface registration/configuration. Merchant POS/Interface status maintenance"
"Functional Pattern"	Allocate
"Asset Type"	CardPOSDevice
"Generic Artifact"	Allocation
"Control Record"	CardPOSDeviceAllocation
"Registration Status"	Registered
