"Service Domain specification for Fraud Diagnosis"
"Business Area"	Operations
"Business Domain"	Accounting Services
"Service Domain"	Fraud Diagnosis
"Role Definition"	"Analyze suspect transaction with Customer behavior information across product portfolio, using Expert Systems /Artificial Intelligence and/or manual review, including customer contact to determine if transaction is fraudulent.  Further apply Economic Model to determine transaction disposition and notify applicable Product Fulfillment SDs."
"Example of use"	"Out of pattern card use is detected and the details passed for analysis. The analysis determines there is a high probability of fraud recommending appropriate containment actions"
"Executive Summary"	"This service domain handles the evaluation of detected possible fraud to support an appropriate response to contain the exposure"
"Key Features"	"Analyse activity to assess likelihood of customer fraud. Analyse activity to assess likelihood of merchant fraud. Analyse activity to assess likelihood of intermediary fraud"
"Functional Pattern"	Analyze
"Asset Type"	FraudDiagnosis
"Generic Artifact"	Analysis
"Control Record"	FraudDiagnosisAnalysis
"Registration Status"	Registered
